country,locality,yearCollected,eventID,principalInvestigator,samplingProtocol,sampleCollectionDeviceEvent,collectorList,continentOcean,municipality,county,dayCollected,locationID,locationRemarks,decimalLatitude,decimalLongitude,decimalLatitudeEnd,decimalLongitudeEnd,depthOfBottomInMeters,eventEnteredBy,habitat,environmentalMedium,horizontalDatum,island,islandGroup,waterBody,landowner,verbatimLocality,maximumDepthInMeters,maximumElevationInMeters,verbatimElevation,verbatimEventDate,coordinateUncertaintyInMeters,coordinatePrecision,georeferenceProtocol,microHabitat,minimumDepthInMeters,verbatimDepth,minimumElevationInMeters,monthCollected,permitInformation,eventRemarks,stateProvince,taxTeam,timeOfDay,verbatimLatitude,verbatimLongitude,fundingSource,fieldNotes,substratum,earliestEonOrLowestEonothem,latestEonOrHighestEonotheme,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,geologicalContextID,latestChronometricAge,latestChronometricAgeReferenceSystem,earliestChronometricAge,earliestChronometricAgeReferenceSystem,chronometricAgeID,chronometricAgeProtocol,chronometricAgeUncertaintyMethod,chronometricAgeUncertaintyInYears,verbatimChronometricAge,materialDated,uncalibratedChronometricAge,chronometricAgeDeterminedBy,lithostratigraphicTerms,group,formation,member,bed,culturalContext,culturalOccupationPeriod,culturalRegions,culturalAffiliations,waterTemperatureInDegreesCelsius,waterSurfaceTemperatureInDegreesCelsius,bcid,expeditionCode,projectId
Indonesia,"Anyer Fish Market, Anyer, Krakatau",2005,0003e7cab588956b0df33169e5d48582,P. H. Barber,,,,,,,,,,-6.120368,105.415856,,,,,,,,,,,,,,,,,20000,,approximated from Google Maps,,,,,,"1187/SU/KS/2006, 04239/ SU.3/KS/2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/EAZ20003e7cab588956b0df33169e5d48582,ctPIRE-Ccun-mtDNA,453
Indonesia,Nudi Retreat,2005,0009ec03955ace8e3cc26bfce463c298,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,7,,,1.483349929,125.2401333,,,,,,,,Sulawesi,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd20009ec03955ace8e3cc26bfce463c298,linlae_COI_EC,1
Indonesia,Adoki,2005,001678550392dd017c4be3663120c26f,Paul Barber,,,,,,,,,,-1.14217,135.994667,,,,,,,,Pulau Biak,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2028,,Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE2001678550392dd017c4be3663120c26f,Sialae_COI_PB,1
Indonesia,Nudi Retreat,2005,001fa85cb07de2a30fc5d08c81071f69,Paul Barber,Small ~2cm clip of arm taken with shears. Tube feet extracted.,,Eric Crandall,,,,7,,,1.483349929,125.2401333,,,,,,,,Sulawesi,,,,,20,,,,500,,GPS,,0,,,4,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2006,,,,,,,NSF OCE-0349177; NSF DEB-0338819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BPd2001fa85cb07de2a30fc5d08c81071f69,linlae_COI_EC,1
Indonesia,Adoki,2005,0041b20b474a19215ccfe8099ee0b079,Paul Barber,,,,,,,,,,-1.14217,135.994667,,,,,,,,Pulau Biak,,,,,,,,,2000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2037,,Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE20041b20b474a19215ccfe8099ee0b079,Sialae_COI_PB,1
Australia,Tuesday Island,2010,005e41bd11f58f75756b1d7edcf68720,Riginos,tissue,,Liggins/Keyse,,,,23,,,-10.543725,142.34715,,,,,,,,,,,,,2,,,,,,Eric's GPS,,2,,,11,"Commonwealth of Australia Torres Strait Fisheries Act 1984 Permit for Scientific purposes; Australian Fisheries Management Authority, Thursday Island",no photo,Torres Strait Islands,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BYk2005e41bd11f58f75756b1d7edcf68720,Tridacnaspecies_variouslocations_COI,1
Indonesia,North Salawati,2005,006be57d5699c35467d11ab62d58693c,Paul Barber,,,,,,,,,,-0.894502,130.87532,,,,,,,,Salawati,,,,,,,,,20000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2126,,West Papua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BNg2006be57d5699c35467d11ab62d58693c,Hopsai_COI_PB,1
Portugal,Algarve,2018,0074c789f017b500622b27167bc458e4,Pierre-Alexandre GAGNAIRE,Fishmarket,,Gagnaire|Barry|Schlichta,North-East Atlantic Ocean,Olhao,,16,Fa,Mercado do Peixe,37.02364,-7.84163,,,,PAG,marine reef biome,,,,,,,,,,,,10000,,,NA,,,,10,NA,,,,,,,ANR-17-CE02-0006-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/Dhs20074c789f017b500622b27167bc458e4,CoGeDiv_Genetic_Diversity_Barry_et_al_2021,357
Australia,Lihou Reef,2008,00b61398163f06e511aafe0c8cbecd07,Cynthia Riginos,tissue,,Treml,,,,12,,,-17.14436667,151.8178167,,,,,,,,,,,,,5,,,,,,GPS,,5,,,12,AU-COM2008042; Australian Government,25cm,Coral Sea,,,,,ARC_DP0878306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BLg200b61398163f06e511aafe0c8cbecd07,halhor_CR_ll,1
Indonesia,Pulau Tidore,2005,00be785059dabc9a6ba06ad063074810,Paul Barber,,,,,,,,,,0.690916,127.412615,,,,,,,,Pulau Tidore,,,,,,,,,12000,,Approximated from Google Maps,,,,,,LIPI 1187/SU/KS/2006 and 04239/SU.3/KS/2096,,North Maluku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/BVE200be785059dabc9a6ba06ad063074810,Sialae_COI_PB,1
